gender,age,income,city,credit_score,loan_approved
male,34,45000,Lahore,720,approved
male,29,38000,Karachi,690,approved
female,41,52000,Lahore,740,rejected
male,25,30000,Islamabad,610,rejected
female,38,61000,Karachi,760,approved
male,45,72000,Lahore,780,approved
female,22,25000,Multan,580,rejected
male,31,48000,Karachi,700,approved
female,29,44000,Lahore,710,rejected
male,50,90000,Islamabad,800,approved
female,33,39000,Multan,650,rejected
male,27,35000,Lahore,640,approved
female,44,58000,Karachi,730,rejected
male,36,53000,Islamabad,690,approved
female,26,31000,Multan,600,rejected
male,40,66000,Lahore,750,approved
female,31,47000,Karachi,700,rejected
male,23,28000,Islamabad,590,rejected
female,48,63000,Lahore,760,approved
male,35,55000,Multan,710,approved
female,39,50000,Karachi,720,rejected
male,28,37000,Lahore,660,approved
female,42,59000,Islamabad,740,rejected
male,32,46000,Multan,680,approved
female,24,29000,Karachi,610,rejected
male,46,75000,Lahore,790,approved
female,37,54000,Islamabad,725,rejected
male,30,42000,Karachi,670,approved
female,27,33000,Multan,620,rejected
male,52,95000,Lahore,810,approved
